prompot,completion（内涵）
缘生性空,缘生性空，佛教术语，缘生，梵文pratītyasamutpanna，性空，梵文niḥsvabhāva，缘生就是事物所谓的存在，不过是种种条件的聚合而产生的临时的、松散性的存在，因此，缘生的事物肯定不存在着一个独立于条件、独立于缘的独立存在性，这个独立存在性肯定是不存在的，就叫性空。缘生性空，是在解构我们凡夫对凡夫境界上常一不变的独立存在的事物的执著，对常一不变的独立存在性的执著，又叫“我执”，讲缘生性空，破的就是我执，佛陀说无我。
性空,性空，佛教术语，梵文niḥsvabhāva，另外亦有asvabhāva、svabhāva-śūnya等形式，直译是无自性、自性空，“无自性”就是不存在，性空的“性”对应的梵文是svabhāva，bhāva是存在，sva指与其他没有关系的、独立的、自我的，svabhāva即独立的存在性、自我的存在性，也译作“自性”，简译为“性”，niḥ、a都是否定前缀，表示没有，śūnya意思是没有，空，零，什么都没有，性空即无自性——没有自我的独立存在性，这是凡夫境界上存在的一个重要特点，佛陀讲性空，只是解构我们凡夫对凡夫境界的那种执着，执着凡夫境界的常一不变性、独立存在性。
缘生,缘生的“缘”就是“条件”，所谓缘生，就是事物所谓的存在，不过是种种条件的聚合而产生的临时的、松散性的存在。缘生的事物，是没有独立存在性的，没有常一不变性的，也就是无自性的。佛陀安立缘生的概念，是一种解构，是佛陀解构我们凡夫对凡夫境界的真实存在的一个解构的方便善巧。
空性,空性，佛教术语，梵文śūnyatā，śūnya意思是没有，空，零，什么都没有，不存在，词尾tā，表示基本特征，基于佛陀二时教法定义空性，就是凡夫境界上的存在，是以什么都不存在为基本特征，这件事叫“空性”，在佛陀三时教法里，遍计所执自性根本、从来就不存在，给这件事儿起名叫“空性”，在二时和三时教法中，佛陀说空，不是把原来存在变为不存在，佛陀说空是说原本就根本从来没有存在过，这个特征叫“空性”，不管是二时教法还是三时教法，佛陀安立空性，是为了解构凡夫境界，是为了破除凡夫的实执、法执，就是为了破增益，而不是补损减，大乘佛法思想的不共，首先体现在无生、空性，能不能理解接受无生、空性，是进入大乘佛法的门槛，也是佛教与非佛教思想的差异。
声闻乘,"声闻乘，佛教术语，梵文śrāvakayāna，声闻这个词的本意是倾听者，更广义的就是指信徒，一切听闻佛法、听佛说法的人都可以称为声闻，乘是佛陀度化众生走向解脱的法，声闻乘属于小乘佛法，主要指的是初时教法中的四圣谛法门——知苦、断集、证灭、修道。
声闻乘行者是通过听闻佛陀说的初时教法、闻法信受、精进修行、最终证悟个体解脱的这类众生。声闻乘的修行，通过受三皈依戒成就信根，坚信四圣谛，修五停心观等，进第五地的戒定慧三学的成就。再进入声闻乘的见道位，这就是声闻乘的第六地。声闻乘的第七地到第十地，分别对应的就是须陀洹、斯陀含、阿那含和阿罗汉果位。"
三十七道品,"""三十七道品""，佛教术语，梵文saptatriṃśadbodhipakṣyān dharmān，又名三十七菩提分法。
“三十七道品”是修行的三十七个具体的内容，实际是“声闻乘”，也就是佛陀的“初时教法”或者叫作“小乘佛法”里最主要的修行方法。三十七项内容可分为七组，依照《清净道论》，名为“四念处”、“四正勤”、“四神足”、“五根”、“五力”、“七觉支”、“八支圣道”。“三十七道品”，是典型的“声闻乘”修行者的修行，《维摩诘经》中说“三十七道品”是菩萨净土，也就是修行大乘佛法的人，以发无上的菩提心之后，由菩提心摄受下去修“三十七道品”，所以“三十七道品”也是大乘佛法的修行。"
出离心,出离心，佛教术语，指基于三世六道轮回的生命观生起的出离生死轮回、寻求解脱、希求涅槃的心。
除妄即真,除妄即真，净名精舍术语，佛陀在初时教法中把凡夫世界不真实的东西除掉了，然后说那就是真，但对于外部世界是否存在的问题是没有明确说明的，也就是说佛陀在这里采用的是以“不是什么”的表达模式来表达诸法的真实，来表达他所证悟的真实性的。
涅槃,涅槃，佛教术语，梵文nirvāṇa，nirvāṇa是niḥ+√vā的过去分词，词根vā，指吹、熄灭，niḥ，指没有，也有出、离、去、往外的意思，nirvāṇa原指吹灭，或吹灭之状态，这个词的基本含义就是熄灭涅槃，意译为灭、灭度、寂灭、圆寂、解脱、无为、自在等，“nirvāṇa”这个梵文词在印度民间的俗语形态是nibbāna，汉传佛教从nibbāna这个词音译成汉语就是涅槃，在三世说生命观的背景下涅槃特指生死轮回的熄灭。佛法是释迦牟尼给出的，能够最有效的引领众生走向涅槃的解决方案。释迦牟尼给出的涅槃方案与印度其他宗教家给出的涅槃方案有根本上的不共之处。
初时教法,初时教法，佛教术语，指佛陀立足凡夫境界向凡夫说的一类法，以“四谛、无我、涅槃寂静”三个基本道理为核心内容。佛陀初时教法的代表性经典，在汉传佛教里边是《阿含经》。初时教法可以概括为八个字：“四谛无我、涅槃寂静”。初时教法讲四谛，讲十二缘起，讲人我空。人我空就是解构凡夫对人我的执着。初时教法以“除妄即真”极为隐秘地遮诠诸法真实性。《解深密经》中说，初时教法是佛陀“惟为发趣声闻乘者，以四谛相转正法轮”。就是初时教法是讲给发小乘心的众生听的，讲的内容是苦、集、灭、道四谛法。通过初时教法的修行，证悟人无我，能够解决内在的自我烦恼而获得一种自我的清净的状态，叫作“涅槃寂静”。
人天乘,人天乘，佛教术语，指佛陀给认同三世说生命观但生不起出离心、不想趣向于涅槃的一类众生说的法。八个字的概括：“五戒十善，人天果报”。
三世说,三世说，净名精舍术语，“三世”梵文taiyadhvika，是印度古人普遍对生命的一种理解和观点，认为生命是在“过去、现在、未来”这三世中轮转，故称“三世说”生命观。印度古人对生命的理解是，人的死亡不是生命的彻底的终结，死亡只是肉体的抛弃，那个精神的因素——“神识”没有死，这个神识要通过投胎转化成另一个生命体又回到这世界上来。回来以后，寿命还是有限的，死了以后神识再转化成下一个生命体再回到这世界上来，如此生生死死在“过去、现在、未来”这三世中轮回不已。
无常无我,（拆分了无常和无我两个词，本词条原文没有很好的定义）
四谛,四谛，佛教术语，梵文 catur-vidhaṃ satyam，“苦、集、灭、道”，在佛教里叫做“四谛”，“谛”就是道理。初时教法讲四谛，讲无我，只讨论人我，没讨论法我。
八正道,八正道，佛教术语，梵文 āryāṣṭāṅga-mārga，又称八圣道、八支正道等。是初时教法四谛中道谛的具体内容。包括：正见、正思维、正语、正业、正命、正方便、正念、正定。指小乘修行人证人我空，断除自己内心的烦恼和痛苦，证得清净的涅槃解脱境界的正确方法或途径。
十二缘起,十二缘起，佛教术语，梵文dvādaśāvga pratītya-samutpāda，亦称“十二因缘”、“十二支”，是佛教解构误以为轮回当中有人我的一个理论，认为生命过程可以分为彼此成为条件或因果联系的环节，是佛陀建立的三大缘起之一，是初时教法破增益的缘起，是缘起的方便说，是部分听闻和缘觉乘修行的法，具体内容就是无明缘行、行缘识、识缘名色、名色缘六处、六处缘触、触缘受、受缘爱、爱缘取、取缘有、有缘生，生缘老死。
涅槃还灭门,涅槃还灭门，佛教术语，与生死流转门相对，是小乘初时教法十二缘起的内容，即以无明尽打头，以“此无故彼无，此灭故彼灭”的形式描述智者走向解脱的状态，具体讲就是无明尽导致行尽，行尽导致识尽，识尽导致名色尽，名色尽导致六处尽，六处尽导致触尽，触尽导致受尽，受尽导致爱尽，爱尽导致取尽，取尽导致有尽，有尽导致生尽，生尽导致老死尽。
生死流转门,生死流转门，佛教术语，与涅槃还灭门相对，是小乘初时教法十二缘起的内容，即以无明打头，以“此有故彼有，此生故彼生”的形式，描述凡夫自以为的生生死死流转不已的生命轮回状态，具体讲就是无明缘行，行缘识，识缘名色，名色缘六处，六处缘触，触缘受，受缘爱，爱缘取，取缘有，有缘生，生缘老死。
十二处,"十二处，印度哲学术语，梵文āyatana，又称“十二入”、简称“处”，指凡夫对自以为的真实世界的一种划分方式。
十二处，就是把凡夫境界的一切的存在，分成了十二个状态。这十二处分为两组：第一组，“六根”，也叫“内六处”，即“眼、耳、鼻、舌、身、意”，描述凡夫内在的主观心识活动；第二组，“六尘”，也叫“外六处”，即“色、声、香、味、触、法”，描述凡夫内在主观心识所对应的那个外境。这两组六个合起来就叫“十二处”，即“眼处、耳处、鼻处、舌处、身处、意处”和“色处、声处、香处、味处、触处、法处”。所以这十二处，就是对凡夫境界凡夫自以为的一切存在的描述。"
十八界,十八界，印度哲学术语，梵文aṣṭādaśa dhātavaḥ，把凡夫境界上的一切的存在分成十八项，佛教叫“十八界”。十八界分成了三组，第一组，叫“六尘”，是凡夫所对的外在物质的存在的世界，分为色、声、香、味、触、法。第二组，众生还有内在的心识，这叫“六识”： 眼识、耳识、鼻识、舌识、身识和意识。这“六识”要根植于众生的六个器官才能产生作用，这个六个器官佛教称为“六根”，六根是第三组，就是眼根、耳根、鼻根、舌根、身根和意根。所以这三组六个合起来，叫作“十八界”，即“眼界、耳界、鼻界、舌界、身界、意界”，“色界、声界、香界、味界、触界、法界”和“眼识界、耳识界、鼻识界、舌识界、身识界、意识界”。这是佛教对于我们凡夫境界上的一切的存在的一种划分方式。
权便中观,权便中观，净名精舍术语，是净名精舍首席学术导师于晓非老师依据佛陀二时教法经典构建的“四重二谛”，即基于既不常也不断、既非有也非无的二谛对治模式而建立的一种中观，是接引众生证空性的过程中的阶段性的方便善巧。
遮诠,遮诠，印度哲学术语，与表诠相对，遮诠就是间接陈述，就是不以肯定形式，而是以否定的形式做解释。二时教法用遮诠的方式——“不是什么”这样一种隐秘的方法，佛教叫“隐秘相”，而说诸法的真实性。
实相离言,实相离言，佛教术语，实相，又名法性、真如、如如、如来藏等，指圣者证悟的真实和真实性，离言，不能够用凡夫语言表达，实相离言就是指圣者境界圣者证悟的真实和真实性是有的，但这个真实性是不能够用语言诠表。
二时四有四无无障碍观,二时四有四无无障碍观，净名精舍术语，指净名精舍大乘佛法二时教法的观修口诀，是净名精舍首席学术导师于晓非老师效仿古德构建佛陀二时教法教理体系的权变中观的“四重二谛”纲领后，依据韩镜清先生“四有四无无障碍观”而总结的修法口诀。 具体内容是四句话：只有相互依存，没有独立存在；只有相似相续，没有常一不变；只有能诠名言，没有所诠实义；只有“离言空性”，没有丝毫法生。
三法印,三法印，佛教术语，梵文Tridṛṣṭinimittamudrā（待确认），指印证某一理论是否为佛法正见的三个基本准则：诸行无常、诸法无我、涅槃寂静。法，理法；印，指印证鉴别。能印证真伪佛法之印，故名法印，也就是鉴别真伪佛法的义理标准，如果打着宣讲佛法的旗号，但宣说的法义连三法印都不符合，那么可以就断定它不是佛法。
“离言空性”,“离言空性”，净名精舍术语，是大乘佛法二时教法中“四重二谛”第四重二谛的“胜义谛”，佛陀把凡夫境界一切的存在，包括名言，都解构干净了，没有一丝丝法的生起——凡夫境界一切法无生，连“离言空性”这四个字也要舍弃。既然“离言”，“离言空性”四个字都是多余的，但是为了度化凡夫，又不得不暂且还要安立这四个字，因此“离言空性”这四个字还要画上引号。
对治,对治，佛教术语，梵文pratipakṣa，原意是指能治，所治，除遣，弃舍，断除的意思，佛法就是佛陀用来对治凡夫无明的言教。因此，佛陀说法，全是对治，不管是“见佛闻法”的分别，还是“以楔出楔”的言说，都只是引领众生悟入佛陀亲证真实性的工具、方便和善巧，都只是过河的筏子，凡夫众生只要真正证入了宗通，这些工具和筏子都要舍弃。
二谛,二谛，佛教术语，谛，是道理的意思，二谛，就是两条道理：一个就叫做“世俗谛”，另一个被称为“胜义谛”。二谛是佛陀在二时教法中度化众生的一个非常有效的方便和手段。世俗谛是佛陀作为一位智者，为了度化众生，迫不得已地向众生做妥协而建立的道理。胜义谛就是在此世俗谛上，佛陀一定要引申出作为智者对这一重世俗谛境界的一个更殊胜的理解，这就是胜义谛。
假有唯名,假有唯名，净名精舍术语，是大乘佛法，二时教法中净名精舍四重二谛中的一条术语。指凡夫境界一切事物只有假说的名字而已，名字背后没有任何对应的真实事物存在。假有唯名，是四重二谛中第四重二谛的世俗谛。在第四重二谛的世俗谛中，为了凸显只剩下名言，把第三重二谛胜义谛“名言假有”的语序略作调整，称为“假有唯名”，也就是通过前三重二谛的解构，凡夫境界仅仅只剩下点“名言”了。
解构,解构，净名精舍术语，通俗地讲，解构就是拆开、打散。在解读佛法时，净名精舍首席学术导师于晓非老师借用这个现代词汇，形象地表明佛陀讲法的过程和目的，就是不断的拆解，打散无明凡夫坚固的实有见。也就是佛陀他老人家对世界的理解和无明凡夫对世界的理解，完全是颠倒的，正好相反了。凡夫死死执著着根本不存在的凡夫境界而自以为是真正实存在，为了破除凡夫的这种错误观点，佛陀对无明凡夫进行不断的解构，以引领无明凡夫证悟真实。“解构”是一个很现代的词语，其实解构的过程，用佛教的语言表达就是一个字，“空”，就是空的过程，不断地空的过程。
名言假有,名言假有，净名精舍术语，是大乘佛法，二时教法中净名精舍四重二谛中的一条术语。指凡夫境界上一切的事物都根本不存在，只是误以为存在，这个误以为的存在，叫假有；凡夫给这个误以为的存在还要起一个名，这个名，就是名言。名言假有，是第三重二谛的胜义谛。
破实执,破实执，佛教术语，这里的实执，特指大乘佛法二时教法中的“法我执”。也就是凡夫以为的独立于内在主观精神的人我之外的那个外在客观物质世界，就是法我。对这个外在客观物质世界的执著就是“法我执”。破实执，就是破除掉对法我的执著，属于佛陀横向教理体系中破增益的部分。
破我执,破我执，佛教术语，佛法中对常一不变的独立存在性的执着，叫我执，大乘佛法二时教法四重二谛当中，第二重二谛的胜义谛是性空，安立性空的名言——无自性，没有常一不变的独立存在性，对治的就是凡夫的我执，破我执，因为佛陀说，要想走向涅槃，走向解脱，必须从“有我”的凡夫走向“无我”的智者，所以打破心中的我执，一步步地淡化心中对我的执着，这就是大乘佛法的修行在纲领上的一个最一般意义上的定义，破我执，属于佛陀横向教理体系中破增益的部分。
胜义谛,胜义谛，佛教术语，梵文，paramārthasatya（梵文待查），谛，是道理的意思，世俗谛和胜议谛，是一对相对的名言，合称为二谛。二谛，就是两条道理：一个就叫做世俗谛，另一个被称为胜义谛。胜义谛就是在此世俗谛上，佛陀一定要引申出作为智者对这一重世俗谛境界的一个更殊胜的理解，这就是胜义谛。
世俗谛,世俗谛，佛教术语，梵文saṃvṛtisatya（梵文待查），谛，是道理的意思，世俗谛和胜议谛，是一对相对的名言，合称为二谛。二谛，就是两条道理：一个就叫做世俗谛，另一个被称为胜义谛。
三套缘起,三套缘起，佛教术语，梵文trividhaḥ pratītyasamutpādaḥ。缘起是佛法的核心教义。佛陀就是用缘起这样一个巨大的方便，来解构凡夫自以为的真实世界。在整个佛陀的教理体系当中，为了度化不同根性的众生，佛陀讲了三种缘起。佛陀教法的纵向教理体系，依照《解深密经》分为初时教法、二时教法和三时教法。在这三套相对独立的名言系统里，相应的佛陀就建立了三套缘起来破增益。佛陀在“初时教法”当中讲了“十二缘起”。在“二时教法”当中讲了“缘生缘起”。在“三时教法”当中讲了“藏识缘起”。依据《解深密经》三时判教，佛说的缘起只有这三套，没有第四种缘起，也就是这三种缘起，就能涵盖佛说的一切缘起。虽然都用了“缘起”，但是在这三时不同教法中，它的法义是不一样的，不能混淆。佛说缘起，并不是说由缘的和合而生起，其实是要表达由缘和合，并未真的生起事物。
悖论归谬模型（顿法）,悖论归谬模型，净名精舍术语，在认识论上对凡夫境界直接归谬而证空性。龙树菩萨在中论颂中所展现的修法，通过对凡夫境界直接归谬而证空性；佛教讲“无自性”，龙树讲的“空”，其实也是无自性，即就要破斥自性。龙树的破法，这个论证过程就叫归谬，就是把一个观点，归出错谬，来否定该观点，来破斥该观点。
二我,二我，佛教术语，指人我和法我。 在佛法体系里，对凡夫所执着的自以为的真实世界的划分有很多种方法，其中最简洁的一种方法就是把它分为两类，分别起名叫“人我”和“法我”。
二我执,二我执，佛教术语，即人我执、法我执。 人我执，梵文ātmagrāha，人我，佛教术语，梵文pudgala，凡夫认为自己内在的主观的精神世界，是一个真实存在，而且是不变的，独立的。法我执，法我，佛教术语，梵文dharmasvabhāva，当一个凡夫执着了内在主观精神的我的存在的时候，即人我存在的时候，就一定会攀缘着主观内在精神世界之外的一个世界。内在主观精神的世界，一定要依托着主观内在精神世界之外的一个外在客观的物质世界而存在。
修行次第,修行次第，佛教术语，就是修行的次序和步骤。佛陀教法的修行，特别是大乘佛法修行的次第，即怎么打破无明见真实。从大的次第来讲，是三个次第，叫作闻、思、修，就是听闻正法、如理思维、如法修行。从佛陀的横向教理体系的安排和修证的次第，可以分成先破增益后补损减两大次第。高度简洁地概括大乘佛法的修行过程可以用“境、行、果”三个字。作为凡夫的修行，首先就是对境发心，而后是如法修行，最终证无住涅槃而成佛。证无似相登八地，就能领受其实从凡夫到成佛，根本无次第，次第只是方便说。
缘起,缘起，佛教术语，梵文pratītyasamutpāda。用最简洁的语言概括表述缘起，就是缘起无生。缘起是佛法的标识。佛说缘起是为解构凡夫自以为的真实世界。佛陀教法的横向教理体系是破增益和补损减，缘起是佛陀破增益的手段、工具，这是佛说缘起的真实法义之所在。
真实,真实，佛教术语，梵文bhūta‐tathatāyā，指真相、真正的存在。依照“净名弘法六要点”第二点，佛陀教理体系在横向上可判为“破增益”和“补损减”两部分。对真实的诠表属于佛法中“补损减”的内容。即佛陀给那些通过佛陀教理第一部分的学习，已经认同了佛陀关于我们凡夫境界上、我们过去自以为真实的世界其实都是不真实的道理的人，讲了第二件事：什么才是佛陀证悟的真正的真实。对“真实”的如法理解首先要依照判教，其次要依照说法立足点的不同。佛陀在《解深密经》中对由于众生根性不同而讲的法作判教，分为初时教法、二时教法、三时教法，从不同角度和不同层次安立了不同的名言系统，告诉凡夫，其实凡夫自以为的凡夫境界上的真实世界，其实一点都不真实——破增益，并且佛陀告诉凡夫什么才是佛陀认为的真正的真实——补损减。
真实性,真实性，净名精舍术语，梵文tattva，指佛陀亲证的真正的真实性。三时教法表达为真如、圆成实自性、如来藏心、不空如来藏、法性等，指圣者心的行处；二时教法中多表达为“实相”，系无为法，属于横向教理体系中“补损减”的部分。
泯灭二边,泯灭二边，净名术语，泯灭，指的是灭绝、消失（自编）；二边，即二边见。
中观,中观，佛教术语，梵文madhyamaka，龙树菩萨对甚深般若波罗蜜的见解叫作中观见。中，指不着凡夫二边。中观，即远离凡夫二边的中道 。
本体论,本体论，哲学术语，英文Ontology，指探究世界的本原或基质的哲学理论，也叫做存在论。
顿法,顿法，净名精舍术语，指引导凡夫速疾证悟空性的修行法门。
渐法,渐法，净名精舍术语，是对凡夫境界平滑解构、次第消融而令众生证悟空性的法门，大乘佛法二时教法教理体系渐法的代表是净名精舍首席学术导师于晓非效仿古德构建的权变中观的“四重二谛”。
归谬,归谬，逻辑学术语，又叫反证法，是一种逻辑论证方法。
认识论,指不直接对对方的论点、论据及论证方式进行正面驳斥，而是按照对方的逻辑和思路推导出一个明显荒谬、虚假或矛盾的结论，使其论点不攻自破。一般分为：推论式反证法、矛盾式反证法等。大乘佛教龙树菩萨《中论颂》中使用归谬法对凡夫自以为的真实世界进行了无余否定的归谬解构。
中观的两重境界,中观的两重境界，佛教术语，指的就是权便中观和究竟中观。
不二,不二，佛教术语，梵文，advaya，指平等，相同，究竟意义上说就是无生法义中消融而不二、无分别。
佛,指佛陀对凡夫二边见认知模式的解构，引导凡夫从凡夫趋向圣者的法门，称为“不二法门”。凡夫自以为的真实世界以一对一对相待的名言去理解、描述，佛陀把凡夫这样的认知模式称为“二边见”，圣者看凡夫是二，只要二即是凡夫，大乘佛法二时教法抓住凡夫二的特点，以二为入手处，以解构二为方便善巧，彻底的解构凡夫自以为的真实世界，凡夫自以为的真实世界压根不真实、不存在。
佛三身,三身，佛教术语，梵文 trikāyāh，又作三身佛、三佛身、三佛，指佛的三种身，法身、报身、化身，其实并不是说佛有三种，而是这三种身是随修行者的不同根性、不同境界的显现。
无常,无常，佛教术语，梵文anitya，基本含义是指没有不变的，总是在变化着的。“常”，梵文是nitya，永恒不变的意思。佛法讲无常是有层次的，大乘佛法讲无常，是根本就无生，因此也无灭，这是无常。佛陀教法讲无常，分成三个层次。第一个层次是小乘佛法的生住异灭的无常，第二个层次是佛陀二时教法四重二谛的前两重二谛、作为大乘佛法前行法的无常，即当生即灭的无常。这两个层次的无常，可以归为一类，叫作“生灭无常”。第三个层次的无常，是第二组二谛所讲的无常，叫作“无生无常”，要观凡夫境界一切的法，压根儿没产生，这是无常，所以叫作“常无，故无常。”
两重无常,两重无常，净名术语，指生灭无常和无生无常。生灭无常，包括生住异灭的无常，和当生即灭的无常。在二时教法里，生灭无常只是无常的方便说，无常的究竟说是无生无常。以无生法义讲无常，无常的究竟法义就是无生，叫“常无故无常”，这才是甚深般若波罗蜜法门。
无生无常,无生无常，净名术语，无常的究竟说，是佛陀“二时教法”第三、四重“二谛”‐‐‐ 第二组“二谛”讲的“无常”，叫做“无生无常”，就是要观凡夫境界一切的法压根儿没产生，这是“无常”，所以叫做“常无故无常”。
生灭无常,生灭无常，净名术语，是无常的方便说，在佛法里讲“无常”是有层次的： 第一层次 – 小乘佛法讲无常：生住异灭的无常；第二层次 – 佛陀二时教法前两重二谛讲无常：当生即灭的无常。 以上两个层次说“无常”是生灭无常。
法,法，佛教术语，梵文是dharma，佛教高频词汇，广义上指事物、范畴、法则、正法，狭义上指佛说的法，佛陀言教。
法性,法性，佛教术语，梵文dharmatā，指佛陀证悟的诸法的真实性，即真如。
两重不二,不二，佛教术语，梵文，advaya，指远离二边的中道。两重不二，净名术语，指两重境界的不二。这是净名精舍首席学术导师于晓非老师在《金刚经》导读中，总结出的两重不二。这两重不二是于老师站在二时教法的角度总结的。两种不二具体概括为两种情形。就是法与法的不二和法与法性的不二。法与法的不二就是纯凡夫境界上的不二。如好与坏，生与灭，常与断，有与无。目的是解构凡夫境界自以为的真实世界。法与法性的不二，是指圣者境界与凡夫境界的不二。如生死与涅槃，烦恼与菩提，五蕴与空。目的是引领众生走向解脱、见真实、显示诸法真实性的无二。两重不二的安立，是为了对治，真正的不二，是彻底地泯灭“二”，并且是以完全地泯灭一边，而达到二边双泯，以此达到远离凡夫“二边见”的中道。
种性,"种性，佛教术语，梵文gotra，基本意思是牛的庇护所，引申的意思是家族、世系，指修行佛法的众生的“分类”。这里要区分开另一个梵文词varṇa，这个词的基本意思是肤色，皮肤的颜色，引申义就是依据肤色，依据不同人种划分的社会等级，这个词也经常被译为“种姓”，这是指印度婆罗门建立的印度的“种姓制度”里的不同种姓。
佛法的修行，对众生区分了不同种性，一共有五种。就是声闻乘修行种性、缘觉乘修行种性、如来乘修行种性、不定种性和无种性。这五种修行种性。是依据众生根性不同，就是依据众生对佛陀教法领受的能力不同而划分的。"
识的两种生住灭,识的两种生住灭，佛教术语，指阿赖耶识有两种生灭的表现，即相续的生灭和相的生灭。
现量,简单地讲就是凡夫依靠感觉器官，对于具体事物的直接感知，比如说看见了这张桌子，摸到了这把椅子，这就是现量
比量,就是指凡夫从给定的前提，推断出结论的行为，即推理或推测
圣言量,就是以教派的圣人教言作为标准，是量的一种
转依,转所依”就是转染成净，转识成智，就是从杂染所依的“识”转为清净所依的“智”，就是从能所分离的认知模式，转变成能所不分离的认知模式
遍计所执自性,就是遍计所执的存在，这是凡夫误以为的心外的存在，就是生了翳病的眼睛显现了似毛的影，而无明凡夫非执为心外的毛，这个毛就是遍计所执自性
五法,“五法”就是指五种法：相、名、妄想、正智、如如，五法与三自性、八识、二无我这四个道理是佛陀三时教法教理体系的四根支柱。
